boro_ct,N_trees,tree_diameter,N_dead,Pct_health,Pct_noproblems
1020600,312.0,8.336538461538462,11.0,0.6858974358974359,0.6474358974358975
1020701,102.0,7.7745098039215685,8.0,0.7058823529411765,0.8823529411764706
1020800,300.0,8.66,13.0,0.8266666666666667,0.5633333333333334
1020901,86.0,8.511627906976743,4.0,0.8023255813953488,0.7790697674418605
1021000,147.0,9.435374149659864,5.0,0.7006802721088435,0.6462585034013606
1021100,235.0,9.795744680851064,7.0,0.8468085106382979,0.7446808510638298
1021200,201.0,8.64179104477612,7.0,0.7512437810945274,0.46766169154228854
1021303,190.0,7.8,10.0,0.868421052631579,0.7947368421052632
1021400,118.0,8.830508474576272,6.0,0.8220338983050848,0.8813559322033898
1021500,87.0,7.517241379310345,10.0,0.9540229885057471,0.7126436781609196
1021600,355.0,8.892957746478872,11.0,0.7549295774647887,0.6732394366197183
1021703,306.0,8.732026143790849,6.0,0.8137254901960784,0.8594771241830066
1021800,340.0,8.373529411764705,6.0,0.6205882352941177,0.6205882352941177
1021900,107.0,5.691588785046729,5.0,0.7850467289719626,0.794392523364486
1022000,416.0,7.829326923076923,6.0,0.7668269230769231,0.59375
1022102,208.0,9.1875,1.0,0.9278846153846154,0.6394230769230769
1022200,285.0,6.719298245614035,14.0,0.7298245614035088,0.6070175438596491
1022301,244.0,6.581967213114754,16.0,0.6598360655737705,0.6516393442622951
1022302,15.0,5.666666666666667,0.0,0.8,0.8
1022400,253.0,8.545454545454545,10.0,0.8142292490118577,0.8695652173913043
1022500,366.0,8.043715846994536,15.0,0.6584699453551912,0.5956284153005464
1022600,255.0,9.470588235294118,9.0,0.7490196078431373,0.6549019607843137
1022700,301.0,10.551495016611296,6.0,0.7574750830564784,0.4219269102990033
1022800,337.0,10.09792284866469,7.0,0.8071216617210683,0.6261127596439169
1022900,315.0,7.704761904761905,17.0,0.8222222222222222,0.580952380952381
1023000,324.0,7.635802469135802,8.0,0.7716049382716049,0.5
1023100,305.0,11.288524590163934,4.0,0.8655737704918033,0.7836065573770492
1023200,283.0,6.784452296819788,9.0,0.823321554770318,0.568904593639576
1023300,379.0,10.20844327176781,4.0,0.7651715039577837,0.7783641160949868
1023400,213.0,6.723004694835681,5.0,0.784037558685446,0.5586854460093896
1023501,256.0,10.234375,5.0,0.87890625,0.83203125
1023502,64.0,6.671875,11.0,0.75,0.734375
1023600,193.0,9.523316062176166,2.0,0.8808290155440415,0.5699481865284974
1023700,377.0,8.671087533156498,16.0,0.8063660477453581,0.7639257294429708
1023900,67.0,7.701492537313433,1.0,0.5522388059701493,0.5522388059701493
1024100,264.0,8.803030303030303,10.0,0.7613636363636364,0.7462121212121212
1024200,261.0,7.996168582375479,19.0,0.7624521072796935,0.5670498084291188
1024301,141.0,10.191489361702128,7.0,0.6950354609929078,0.5106382978723404
1024302,36.0,15.222222222222221,0.0,1.0,0.8611111111111112
1024500,368.0,6.739130434782608,29.0,0.7010869565217391,0.6603260869565217
1024700,209.0,7.483253588516747,5.0,0.6267942583732058,0.7177033492822966
1024900,112.0,7.392857142857143,1.0,0.7767857142857143,0.41964285714285715
1025100,211.0,7.985781990521327,14.0,0.6824644549763034,0.8199052132701422
1025300,300.0,7.973333333333334,11.0,0.74,0.5766666666666667
1025500,264.0,8.450757575757576,18.0,0.6590909090909091,0.75
1025700,282.0,8.102836879432624,3.0,0.8475177304964538,0.7092198581560284
1025900,171.0,7.614035087719298,5.0,0.8888888888888888,0.7543859649122807
1026100,296.0,6.398648648648648,12.0,0.7195945945945946,0.5337837837837838
1026300,265.0,6.8,20.0,0.7886792452830189,0.6415094339622641
1026500,198.0,7.98989898989899,5.0,0.8333333333333334,0.7929292929292929
1026700,79.0,9.126582278481013,1.0,0.810126582278481,0.7215189873417721
1026900,308.0,7.084415584415584,17.0,0.672077922077922,0.3116883116883117
1027100,330.0,8.43030303030303,15.0,0.45151515151515154,0.2909090909090909
1027300,265.0,9.18867924528302,1.0,0.7849056603773585,0.7886792452830189
1027500,99.0,15.141414141414142,2.0,0.7676767676767676,0.6060606060606061
1027700,266.0,5.424812030075188,11.0,0.6842105263157895,0.5639097744360902
1027900,321.0,7.67601246105919,12.0,0.7071651090342679,0.4454828660436137
1028100,87.0,10.045977011494253,0.0,0.7701149425287356,0.7126436781609196
1028300,182.0,5.846153846153846,10.0,0.6428571428571429,0.4945054945054945
1028500,211.0,5.81042654028436,16.0,0.6587677725118484,0.5829383886255924
1028700,262.0,10.427480916030534,4.0,0.7442748091603053,0.7099236641221374
1029100,280.0,5.7,8.0,0.7,0.5892857142857143
1029300,204.0,5.416666666666667,9.0,0.7254901960784313,0.5980392156862745
1029500,257.0,7.754863813229572,9.0,0.7665369649805448,0.5914396887159533
1029700,73.0,6.63013698630137,0.0,0.6986301369863014,0.6986301369863014
1029900,252.0,7.988095238095238,5.0,0.4880952380952381,0.5317460317460317
1030300,217.0,7.096774193548387,6.0,0.663594470046083,0.576036866359447
1030700,140.0,7.75,1.0,0.65,0.5928571428571429
1030900,289.0,10.678200692041523,5.0,0.8096885813148789,0.328719723183391
1031100,217.0,12.47004608294931,7.0,0.815668202764977,0.9078341013824884
1031703,334.0,7.610778443113772,3.0,0.9281437125748503,0.9221556886227545
1031704,434.0,8.071428571428571,12.0,0.8387096774193549,0.9815668202764977
1031900,11.0,12.363636363636363,0.0,1.0,1.0
2000200,376.0,9.622340425531915,0.0,0.9069148936170213,0.7659574468085106
2000400,440.0,7.7272727272727275,6.0,0.8204545454545454,0.8704545454545455
2001600,503.0,10.087475149105368,7.0,0.8767395626242545,0.6083499005964215
2001900,476.0,6.920168067226891,14.0,0.7184873949579832,0.38445378151260506
2002000,408.0,12.642156862745098,7.0,0.8651960784313726,0.7622549019607843
2002300,50.0,13.26,3.0,0.92,0.6
2002400,117.0,10.735042735042734,1.0,0.8717948717948718,0.9829059829059829
2002500,167.0,6.059880239520958,3.0,0.7844311377245509,0.2634730538922156
2002701,65.0,5.4,2.0,0.6461538461538462,0.4461538461538462
2002702,156.0,7.1923076923076925,8.0,0.8525641025641025,0.6282051282051282
2002800,226.0,13.331858407079647,2.0,0.9247787610619469,0.8672566371681416
2003100,85.0,6.788235294117647,0.0,0.788235294117647,0.7411764705882353
2003300,185.0,8.043243243243243,4.0,0.8108108108108109,0.6594594594594595
2003500,161.0,7.695652173913044,4.0,0.8819875776397516,0.7267080745341615
2003700,26.0,11.115384615384615,0.0,0.5769230769230769,0.46153846153846156
2003800,110.0,9.309090909090909,1.0,0.9181818181818182,0.8090909090909091
2003900,221.0,9.28054298642534,15.0,0.9276018099547512,0.4479638009049774
2004001,172.0,12.424418604651162,2.0,0.9302325581395349,0.7965116279069767
2004100,209.0,8.4066985645933,8.0,0.6602870813397129,0.3684210526315789
2004200,327.0,11.862385321100918,6.0,0.8073394495412844,0.6024464831804281
2004300,285.0,8.72280701754386,12.0,0.7964912280701755,0.3719298245614035
2004400,129.0,9.372093023255815,0.0,0.875968992248062,0.9069767441860465
2004600,101.0,20.861386138613863,2.0,0.7227722772277227,0.6039603960396039
2004800,157.0,12.777070063694268,1.0,0.7898089171974523,0.3885350318471338
2005001,168.0,8.833333333333334,2.0,0.8511904761904762,0.6904761904761905
2005002,189.0,6.195767195767195,3.0,0.91005291005291,0.7301587301587301
2005100,291.0,6.958762886597938,10.0,0.4948453608247423,0.6426116838487973
2005200,181.0,6.966850828729282,3.0,0.9226519337016574,0.9171270718232044
2005400,191.0,8.675392670157068,3.0,0.8900523560209425,0.8743455497382199
2005600,180.0,9.53888888888889,4.0,0.9388888888888889,0.8722222222222222
2005902,78.0,9.397435897435898,4.0,0.8461538461538461,0.5641025641025641
2006000,103.0,9.155339805825243,10.0,0.8446601941747572,0.8349514563106796
2006100,53.0,8.283018867924529,3.0,0.7547169811320755,0.6226415094339622
2006200,133.0,10.218045112781954,2.0,0.9473684210526315,0.8721804511278195
2006300,847.0,9.170011806375443,49.0,0.7414403778040142,0.5867768595041323
2006400,188.0,11.425531914893616,6.0,0.8617021276595744,0.75
2006500,294.0,7.408163265306122,15.0,0.6292517006802721,0.6054421768707483
2006700,181.0,5.745856353591161,13.0,0.6353591160220995,0.5248618784530387
2006800,248.0,13.995967741935484,3.0,0.8185483870967742,0.8629032258064516
2006900,283.0,7.855123674911661,17.0,0.8091872791519434,0.5017667844522968
2007000,336.0,12.327380952380953,2.0,0.8690476190476191,0.6011904761904762
2007100,238.0,8.331932773109244,5.0,0.8151260504201681,0.6722689075630253
2007200,269.0,8.598513011152416,3.0,0.9182156133828996,0.8252788104089219
2007300,203.0,7.896551724137931,15.0,0.7881773399014779,0.7487684729064039
2007400,236.0,9.36864406779661,2.0,0.8389830508474576,0.7033898305084746
2007500,337.0,9.58753709198813,22.0,0.8516320474777448,0.655786350148368
2007600,273.0,9.263736263736265,3.0,0.73992673992674,0.6996336996336996
2007700,192.0,7.822916666666667,4.0,0.7864583333333334,0.5260416666666666
2007800,462.0,8.305194805194805,28.0,0.8246753246753247,0.8982683982683982
2007900,269.0,7.966542750929368,16.0,0.9144981412639405,0.7100371747211895
2008300,236.0,8.936440677966102,11.0,0.9067796610169492,0.5042372881355932
2008400,159.0,11.08805031446541,2.0,0.8742138364779874,0.6792452830188679
2008500,270.0,9.096296296296297,1.0,0.8666666666666667,0.7925925925925926
2008600,126.0,11.11111111111111,2.0,0.8174603174603174,0.753968253968254
2008700,346.0,9.052023121387283,18.0,0.9335260115606936,0.7543352601156069
2008900,126.0,10.087301587301587,6.0,0.6904761904761905,0.6587301587301587
2009000,577.0,7.504332755632582,14.0,0.8388214904679376,0.9116117850953206
2009200,382.0,8.795811518324607,6.0,0.8900523560209425,0.8586387434554974
2009300,1644.0,6.125912408759124,82.0,0.7755474452554745,0.8017031630170316
2009600,549.0,7.657559198542805,7.0,0.8542805100182149,0.7577413479052824
2009800,684.0,8.179824561403509,20.0,0.8991228070175439,0.8523391812865497
2011000,177.0,9.214689265536723,2.0,0.8813559322033898,0.9265536723163842
2011502,345.0,6.147826086956521,27.0,0.8869565217391304,0.7797101449275362
2011700,527.0,5.899430740037951,51.0,0.8823529411764706,0.8614800759013282
2011800,391.0,14.066496163682864,3.0,0.8491048593350383,0.4833759590792839
2011900,247.0,9.724696356275304,8.0,0.8663967611336032,0.8218623481781376
2012101,168.0,7.255952380952381,0.0,0.9345238095238095,0.6726190476190477
2012102,70.0,9.3,2.0,0.9714285714285714,0.8285714285714286
2012300,188.0,7.212765957446808,14.0,0.8404255319148937,0.776595744680851
2012500,314.0,8.09235668789809,2.0,0.856687898089172,0.697452229299363
2012701,192.0,8.901041666666666,3.0,0.8541666666666666,0.875
2012901,208.0,7.2451923076923075,13.0,0.8173076923076923,0.8605769230769231
2013000,166.0,13.337349397590362,1.0,0.9698795180722891,0.9096385542168675
2013100,416.0,7.939903846153846,15.0,0.8413461538461539,0.8774038461538461
2013200,1031.0,8.252182347235694,7.0,0.9282250242483027,0.8903976721629486
2013300,160.0,8.4875,8.0,0.9125,0.70625
2013500,188.0,10.904255319148936,0.0,0.9095744680851063,0.7872340425531915
2013800,93.0,18.827956989247312,0.0,0.9032258064516129,0.6451612903225806
2014100,181.0,6.220994475138122,4.0,0.7458563535911602,0.5580110497237569
2014300,148.0,8.412162162162161,0.0,0.8445945945945946,0.6621621621621622
2014400,348.0,10.123563218390805,3.0,0.9827586206896551,0.9626436781609196
2014500,153.0,7.300653594771242,6.0,0.8235294117647058,0.6209150326797386
2014701,68.0,8.617647058823529,5.0,0.8529411764705882,0.5588235294117647
2014702,66.0,8.212121212121213,5.0,0.7727272727272727,0.5909090909090909
2014900,180.0,7.038888888888889,26.0,0.8388888888888889,0.6388888888888888
2015100,386.0,10.468911917098445,8.0,0.8523316062176166,0.7124352331606217
2015200,251.0,12.788844621513944,12.0,0.9043824701195219,0.50199203187251
2015300,407.0,9.17936117936118,7.0,0.8378378378378378,0.6388206388206388
2015500,147.0,8.238095238095237,12.0,0.8843537414965986,0.6326530612244898
2015700,226.0,6.411504424778761,6.0,0.9070796460176991,0.7433628318584071
2015800,204.0,13.553921568627452,1.0,0.8725490196078431,0.6029411764705882
2015900,142.0,8.880281690140846,3.0,0.5985915492957746,0.8873239436619719
